2	96800000	102700000
2	110200000	114400000
2	16700000	19200000
2	52900000	55000000
2	68600000	75000000
2	135100000	136800000
2	169700000	183000000
2	183000000	189400000
2	197400000	209000000
2	237300000	243199373
2	144100000	148700000
2	83300000	90500000
2	44100000	154900000
11	68400000	70400000
11	114500000	121200000
11	16200000	21700000
11	26100000	27200000
11	31000000	36400000
11	85600000	88300000
11	113109645	117672914
11	63400000	77100000
11	16100000	21600000
9	114900000	117700000
9	19900000	33200000
9	90400000	91800000
9	108383899	118069329
9	50700000	65900000
9	16600000	18500000
15	59100000	67500000
6	13400000	15200000
6	4200000	7100000
6	25200000	27000000
6	70000000	75900000
6	161000000	164500000
6	105500000	114600000
6	88000000	93100000
6	30400000	46200000
20	17900000	21300000
20	9200000	12100000
3	23900000	26400000
3	58600000	63700000
3	182700000	187900000
3	148900000	160700000
10	89500001	97000000
10	111900001	114900000
10	52900000	70600000
10	74899999	1070600001
10	112987339	113136936
10	119100000	127500000
10	42300000	52900000
8	101600000	106200000
8	93300000	99000000
8	117700000	127300000
8	139900000	146364022
8	117700000	127300000
14	58100000	67900000
14	67900000	70200000
7	54000000	58000000
7	0	7300000
7	35000000	37200000
7	43300000	45400000
7	91100000	92800000
7	98000000	107400000
7	114600000	117400000
7	130400000	132600000
7	147900000	159138663
7	59900000	77500000
7	107400000	114400000
13	34000000	35500000
13	55300000	73300000
13	57600000	60500000
13	95000000	101700000
13	73300000	79000000
18	32700000	37200000
18	53800000	61600000
18	66800000	68700000
22	35900000	49691432
22	29600000	32200000
4	6000000	11300000
4	52700000	59500000
4	139500000	141500000
4	11300000	35800000
4	88000000	98800000
17	10700000	16000000
17	57600000	58300000
12	46400000	54900000
12	80300000	92600000
12	114300000	120700000
12	112300000	114300000
12	109000000	133851895
23	141900000	147100000
23	29721306	32743792
23	140300000	142100000
23	147100000	155270560
23	147100000	155270560
23	14710000	155270560
1	0	28000000
1	50700000	61300000
1	68900000	69700000
1	84900000	94700000
1	99700000	102200000
1	142600000	155000000
1	172900000	176000000
1	224100000	236600000
1	243700000	249250621
1	128900000	142600000
1	185800000	198700000
1	61300000	84900000
1	94700000	99700000
19	32400000	59128983
19	0	20000000
5	28900000	42500000
5	92300000	98200000
5	130600000	136200000
5	92300000	93916228
5	18400000	28900000
5	98200000	109600000
5	168500000	180915260
5	50500000	63000000
16	14800000	16800000
16	66700000	70800000
16	63917502	63934965
16	79200000	81700000
16	24200000	28100000
