2	97465737	103316459
2	110957577	115157577
2	16881267	19399761
2	53127138	55227136
2	68827132	75227127
2	135857570	137557570
2	170556510	183864728
2	183864728	190264726
2	198264724	209864724
2	144857567	149457569
2	44327139	155756512
11	68167468	70246106
11	114370722	121070709
11	16221546	21721546
11	26121547	27221547
11	31021547	36421550
11	85311044	88033168
11	112980367	117543629
11	63167472	76811046
11	16121546	21621546
9	117662280	120462278
9	19899998	33199998
9	93162282	94562282
9	111146179	120831607
9	16599998	18499998
15	59392199	67792338
6	13400232	15200231
6	4200234	7100233
6	25200228	26967779
6	70709892	76609717
6	161421032	164921033
6	105947875	114921164
6	88709718	93809718
6	30367777	46167737
20	17880644	21280638
20	9180647	12080648
3	23941491	26441491
3	58585727	63685676
3	182417788	187617788
3	148617787	160417788
10	91259758	98759757
10	113659759	116659759
10	54659760	72359756
10	114747098	114896695
10	120859512	129298264
8	102612228	107212228
8	94312228	100012228
8	118712239	128312245
8	118712239	128312245
14	58566718	68366717
14	68366717	70666717
7	54067693	58054331
7	10000	7339631
7	35039612	37239605
7	43339599	45439599
7	90729315	92429314
7	97629312	107040445
7	114240055	117040054
7	130039841	132284759
7	147597092	158931354
7	107040445	114040055
13	34574137	36074137
13	55874135	73874137
13	58174134	61074134
13	95652254	102352350
13	73874137	79574135
18	30279963	34779963
18	51326370	59267233
18	64467237	66367237
22	36296048	50085080
22	29995989	32595987
4	6001727	11301624
4	53566167	60365718
4	140421154	142421153
4	11301624	35801622
4	88921152	99721151
17	10603317	15903314
17	55677361	56377361
12	46793783	55293784
12	80693780	92993776
12	114737805	121137803
12	112737804	114737805
12	109437805	133841895
1	10000	28326511
1	51165672	61765672
1	69365683	70165683
1	85365683	95165556
1	100165556	102665556
1	172869140	175969136
1	224287702	236763300
1	185769132	198669129
1	61765672	85365683
1	95165556	100165556
19	32890906	59118983
19	60000	20110809
5	28900107	42500102
5	91595817	97535704
5	129935693	135535688
5	91595817	93251933
5	18400109	28900107
5	97535704	108935701
5	167927005	180342260
5	49795834	62295827
16	14893857	16893857
16	66733903	70833903
16	63951406	63968869
16	79233897	81733605
16	24211321	28111321
